fragment.ID,rate.type,E,Eh,lnc,Th,Topt,site.letter
PA37_L,GP,0.464178711,3.303410004,1.217878849,307.5473312,303.141527,B
PA38_C,C,0.27917948,2.23445007,0.444761583,309.5120112,302.48206,B
PA38_D,R,0.166783023,2.406309426,0.38687213,316.5593295,307.5023008,B
PA38_L,GP,0.375198517,3.573004354,1.045215041,308.5753433,303.7303009,B
PA39_C,C,1.892658023,2.063420355,2.965575659,290.1134022,298.8251128,B
PA39_D,R,0.15006854,3.044544568,0.475191803,316.4359707,308.2625275,B
PA39_L,GP,0.48307836,2.346286371,1.273111419,306.4744526,301.8860919,B
PA40_C,C,0.098246485,6.281837066,0.199064179,311.4502732,306.0326903,B
PA40_D,R,0.129384096,2.376929413,0.374259088,318.2680287,308.1154934,B
PA40_L,GP,0.491887401,2.645960586,1.099499051,307.454288,302.972526,B
PA41_C,C,0.572220659,0.998316577,0.963130675,298.4538026,300.738991,B
PA41_D,R,0.156288746,2.245172775,0.374237793,318.4215313,308.6388165,B
PA41_L,GP,0.447722231,2.949422459,1.058363874,308.045183,303.3463342,B
PA42_C,C,0.481157697,1.356810621,0.634612437,304.7394503,301.2472172,B
PA42_D,R,0.141632318,2.406439481,0.491676168,316.7105701,307.0543963,B
PA42_L,GP,0.298624311,3.331368112,1.060115116,308.5932824,302.9852197,B
PA43_C,C,0.284631602,2.335466476,0.444246411,309.6272412,302.7937252,B
PA43_D,R,0.122393742,2.662169171,0.426760679,317.4062498,307.812536,B
PA43_L,GP,0.305932015,3.975054067,1.053051797,309.14736,304.0828944,B
PA45_C,C,0.925035381,1.435705381,1.281997763,297.1546204,300.3380887,B
PA45_D,R,0.152107789,2.254526188,0.448365603,317.4575172,307.6506085,B
PA45_L,GP,0.436247434,2.680533726,1.17899143,307.7081766,302.8004791,B
PA29_C,C,0.331592756,1.918335789,0.508471753,308.3744131,301.826837,C
PA29_D,R,0.242761761,1.98729344,0.461237306,314.4051967,306.1706282,C
PA29_L,GP,0.391124774,2.549402941,1.19144595,308.116569,302.7296959,C
PA30_C,C,0.122622559,10.24837167,0.194870569,310.6539832,307.1121211,C
PA30_D,R,0.159927414,2.236508628,0.386416086,316.7340572,307.1219339,C
PA30_L,GP,0.232223845,4.300525354,1.007061472,309.0799617,303.6928638,C
PA31_C,C,0.477152272,1.203004574,0.705456088,303.8156669,301.0661567,C
PA31_D,R,0.202017103,1.719141091,0.469177247,315.9274682,306.1493725,C
PA31_L,GP,0.358967828,2.553848046,1.093159984,308.6548058,302.9403241,C
PA32_C,C,0.159096188,2.18863097,0.375079056,313.7801704,304.2082596,C
PA32_D,R,0.254999416,1.478386952,0.668186878,314.0149498,305.2508952,C
PA32_L,GP,0.233616326,2.542282811,1.134319233,309.416978,302.1553398,C
PA33_C,C,0.254605988,1.228585506,0.324361882,311.0295767,302.1821084,C
PA33_D,R,0.101894731,2.433217119,0.321759679,317.8246302,307.0043718,C
