Date,TempInSitu,Serial,Salinity
1/15/2021 10:28,29.17,316,33.87172293
1/15/2021 10:28,29.15,316,33.84636459
1/15/2021 10:28,29.14,316,33.82712501
1/15/2021 10:28,29.24,316,33.99732846
1/15/2021 10:28,29.21,316,33.95563578
1/15/2021 10:28,29.17,316,33.93110831
1/15/2021 10:29,29.19,316,34.04285408
1/15/2021 10:29,29.16,316,33.98783975
1/15/2021 10:29,29.16,316,33.85900325
1/15/2021 10:29,29.15,316,33.91227583
1/15/2021 10:29,29.17,316,33.91791224
1/15/2021 10:29,29.17,316,33.88492168
1/15/2021 10:30,29.19,316,33.88062586
1/15/2021 10:30,29.15,316,33.85947649
1/15/2021 10:30,29.15,316,33.82657345
1/15/2021 10:30,29.19,316,33.84765374
1/15/2021 10:30,29.2,316,33.79462773
1/15/2021 10:30,29.21,316,33.8764237
1/15/2021 10:31,29.24,316,33.87165613
1/15/2021 10:31,29.25,316,33.86459313
1/15/2021 10:31,29.26,316,33.85753261
1/15/2021 10:31,29.33,316,33.7293667
1/15/2021 10:31,29.38,316,33.68770423
1/15/2021 10:31,29.44,316,33.56079998
1/15/2021 10:32,29.43,316,33.62329638
1/15/2021 10:32,29.41,316,33.62740104
1/15/2021 10:32,29.37,316,33.21239321
1/15/2021 10:32,29.24,316,33.03796135
1/15/2021 10:32,29.24,316,33.818955
1/15/2021 10:32,29.26,316,33.765441
1/15/2021 10:33,29.25,316,33.78889955
1/15/2021 10:33,29.21,316,33.29761239
1/15/2021 10:33,29.22,316,33.10886029
1/15/2021 10:33,29.19,316,33.41767301
1/15/2021 10:33,29.16,316,33.08043148
1/15/2021 10:33,29.19,316,32.98703261
1/15/2021 10:34,29.16,316,32.7441798
1/15/2021 10:34,29.16,316,32.54566985
1/15/2021 10:34,29.15,316,32.5679127
1/15/2021 10:34,29.21,316,32.73808061
1/15/2021 10:34,29.24,316,32.79878143
1/15/2021 10:34,29.25,316,32.84833818
1/15/2021 10:35,29.22,316,32.84066771
1/15/2021 10:35,29.28,316,33.02625224
1/15/2021 10:35,29.3,316,33.06952504
1/15/2021 10:35,29.27,316,33.13154456
1/15/2021 10:35,29.31,316,33.39210233
1/15/2021 10:35,29.3,316,33.37333221
1/15/2021 10:36,29.3,316,33.59679284
1/15/2021 10:36,29.3,316,33.56428989
1/15/2021 10:36,29.28,316,33.63359032
1/15/2021 10:36,29.27,316,33.68962787
1/15/2021 10:36,29.27,316,33.56248984
1/15/2021 10:36,29.28,316,32.89379456
1/15/2021 10:37,29.3,316,32.97461179
1/15/2021 10:37,29.36,316,33.08225836
1/15/2021 10:37,29.27,316,32.79705039
1/15/2021 10:37,29.3,316,32.88323886
1/15/2021 10:37,29.26,316,32.68219153
1/15/2021 10:37,29.3,316,33.00936043
1/15/2021 10:38,29.27,316,32.92579364
1/15/2021 10:38,29.31,316,32.88267469
1/15/2021 10:38,29.32,316,32.91673867
1/15/2021 10:38,29.33,316,33.09340743
1/15/2021 10:38,29.22,316,32.6224521
1/15/2021 10:38,29.26,316,32.74769798
1/15/2021 10:39,29.31,316,32.9392988
1/15/2021 10:39,29.38,316,33.20235647
1/15/2021 10:39,29.39,316,33.3720156
1/15/2021 10:39,29.32,316,33.30792848
1/15/2021 10:39,29.27,316,33.89343148
1/15/2021 10:39,29.27,316,33.91319073
1/15/2021 10:40,29.24,316,33.95761868
1/15/2021 10:40,29.27,316,33.76499949
1/15/2021 10:40,29.25,316,33.93401772
1/15/2021 10:40,29.26,316,33.87072422
1/15/2021 10:40,29.27,316,33.78465728
1/15/2021 10:40,29.28,316,33.76778933
1/15/2021 10:41,29.27,316,33.72560305
1/15/2021 10:41,29.28,316,33.70226166
1/15/2021 10:41,29.3,316,33.61310246
1/15/2021 10:41,29.32,316,33.7003889
1/15/2021 10:41,29.28,316,33.57171721
1/15/2021 10:41,29.33,316,33.67698474
1/15/2021 10:42,29.31,316,33.57675347
1/15/2021 10:42,29.33,316,33.74244669
1/15/2021 10:42,29.35,316,33.66296232
1/15/2021 10:42,29.33,316,33.69337204
1/15/2021 10:42,29.35,316,33.74487026
1/15/2021 10:42,29.36,316,33.77069983
1/15/2021 10:43,29.36,316,33.71489507
1/15/2021 10:43,29.35,316,33.71201458
1/15/2021 10:43,29.35,316,33.71534537
1/15/2021 10:43,29.35,316,33.78754833
1/15/2021 10:43,29.31,316,33.90810608
1/15/2021 10:43,29.32,316,33.87463246
1/15/2021 10:44,29.36,316,33.72470698
1/15/2021 10:44,29.36,316,33.69194966
1/15/2021 10:44,29.35,316,33.81393447
1/15/2021 10:44,29.37,316,33.70131177
1/15/2021 10:44,29.37,316,33.69150514
1/15/2021 10:44,29.38,316,33.72704432
1/15/2021 10:45,29.38,316,33.68449362
1/15/2021 10:45,29.37,316,33.69150618
1/15/2021 10:45,29.38,316,33.65499247
1/15/2021 10:45,29.37,316,33.59993711
1/15/2021 10:45,29.37,316,33.66856608
1/15/2021 10:45,29.37,316,33.62278155
1/15/2021 10:46,29.36,316,33.63311042
1/15/2021 10:46,29.38,316,33.6615598
1/15/2021 10:46,29.38,316,33.66156015
1/15/2021 10:46,29.37,316,33.58366228
1/15/2021 10:46,29.36,316,33.58741629
1/15/2021 10:46,29.36,316,33.55486011
1/15/2021 10:47,29.37,316,33.52836716
1/15/2021 10:47,29.35,316,33.5163387
1/15/2021 10:47,29.36,316,33.62330761
1/15/2021 10:47,29.35,316,33.53909241
1/15/2021 10:47,29.33,316,33.53030041
1/15/2021 10:47,29.35,316,33.5488066
1/15/2021 10:48,29.37,316,33.5967048
1/15/2021 10:48,29.33,316,33.56278187
1/15/2021 10:48,29.38,316,33.59295036
1/15/2021 10:48,29.41,316,33.53299439
1/15/2021 10:48,29.43,316,33.60697999
1/15/2021 10:48,29.42,316,33.75805928
1/15/2021 10:49,29.42,316,33.76138659
1/15/2021 10:49,29.41,316,33.63732306
1/15/2021 10:49,29.41,316,33.56551985
1/15/2021 10:49,29.39,316,33.70690288
1/15/2021 10:49,29.39,316,33.64476095
1/15/2021 10:49,29.41,316,33.70933224
1/15/2021 10:50,29.39,316,33.6611273
1/15/2021 10:50,29.41,316,33.66348243
1/15/2021 10:50,29.41,316,33.65359475
1/15/2021 10:50,29.41,316,33.66348312
1/15/2021 10:50,29.41,316,33.62096826
