date,AbsPressure,Depth
2021-01-15 10:46:50,104.683,0.29
2021-01-15 10:47:00,104.424,0.264
2021-01-15 10:47:10,104.321,0.254
2021-01-15 10:47:20,104.304,0.252
2021-01-15 10:47:30,104.614,0.283
2021-01-15 10:47:40,104.614,0.283
2021-01-15 10:47:50,104.545,0.276
2021-01-15 10:48:00,104.614,0.283
2021-01-15 10:48:10,104.838,0.305
2021-01-15 10:48:20,104.286,0.25
2021-01-15 10:48:30,104.579,0.279
2021-01-15 10:48:40,104.131,0.235
2021-01-15 10:48:50,104.631,0.284
2021-01-15 10:49:00,104.459,0.267
2021-01-15 10:49:10,104.648,0.286
2021-01-15 10:49:20,104.769,0.298
2021-01-15 10:49:30,104.39,0.26
2021-01-15 10:49:40,104.183,0.24
2021-01-15 10:49:50,104.39,0.26
2021-01-15 10:50:00,104.39,0.26
2021-01-15 10:50:10,104.355,0.257
2021-01-15 10:50:20,104.269,0.248
2021-01-15 10:50:30,104.479,0.269
2021-01-15 10:50:40,104.479,0.269
2021-01-15 10:50:50,104.289,0.25
2021-01-15 10:51:00,104.427,0.264
2021-01-15 10:51:10,104.272,0.249
2021-01-15 10:51:20,104.237,0.245
2021-01-15 10:51:30,104.134,0.235
2021-01-15 10:51:40,104.203,0.242
2021-01-15 10:51:50,104.358,0.257
2021-01-15 10:52:00,104.151,0.237
2021-01-15 10:52:10,104.599,0.281
2021-01-15 10:52:20,104.392,0.261
2021-01-15 10:52:30,104.84,0.305
2021-01-15 10:52:40,104.513,0.273
2021-01-15 10:52:50,104.548,0.276
2021-01-15 10:53:00,104.703,0.292
2021-01-15 10:53:10,104.461,0.268
2021-01-15 10:53:20,104.306,0.252
2021-01-15 10:53:30,104.324,0.254
2021-01-15 10:53:40,104.461,0.268
2021-01-15 10:53:50,104.565,0.278
2021-01-15 10:54:00,104.22,0.244
2021-01-15 10:54:10,104.186,0.24
2021-01-15 10:54:20,104.255,0.247
2021-01-15 10:54:30,104.306,0.252
2021-01-15 10:54:40,104.255,0.247
2021-01-15 10:54:50,104.151,0.237
2021-01-15 10:55:00,104.134,0.235
2021-01-15 10:55:10,104.341,0.256
2021-01-15 10:55:20,104.358,0.257
2021-01-15 10:55:30,104.461,0.268
2021-01-15 10:55:40,104.599,0.281
2021-01-15 10:55:50,104.513,0.273
2021-01-15 10:56:00,104.53,0.274
2021-01-15 10:56:10,104.634,0.285
2021-01-15 10:56:20,104.668,0.288
2021-01-15 10:56:30,104.513,0.273
2021-01-15 10:56:40,104.341,0.256
2021-01-15 10:56:50,104.306,0.252
2021-01-15 10:57:00,104.306,0.252
2021-01-15 10:57:10,104.134,0.235
2021-01-15 10:57:20,103.927,0.214
2021-01-15 10:57:30,104.341,0.256
2021-01-15 10:57:40,104.1,0.232
2021-01-15 10:57:50,104.375,0.259
2021-01-15 10:58:00,104.117,0.233
2021-01-15 10:58:10,104.065,0.228
2021-01-15 10:58:20,104.272,0.249
2021-01-15 10:58:30,104.1,0.232
2021-01-15 10:58:40,104.235,0.245
2021-01-15 10:58:50,104.355,0.257
2021-01-15 10:59:00,104.269,0.248
2021-01-15 10:59:10,104.338,0.255
2021-01-15 10:59:20,104.545,0.276
2021-01-15 10:59:30,104.373,0.259
2021-01-15 10:59:40,104.424,0.264
2021-01-15 10:59:50,104.459,0.267
2021-01-15 11:00:00,104.269,0.248
2021-01-15 11:00:10,104.338,0.255
2021-01-15 11:00:20,104.338,0.255
2021-01-15 11:00:30,104.51,0.272
2021-01-15 11:00:40,104.097,0.231
2021-01-15 11:00:50,103.994,0.221
2021-01-15 11:01:00,104.183,0.24
2021-01-15 11:01:10,104.252,0.247
2021-01-15 11:01:20,104.286,0.25
2021-01-15 11:01:30,104.2,0.242
2021-01-15 11:01:40,104.097,0.231
2021-01-15 11:01:50,104.166,0.238
2021-01-15 11:02:00,104.321,0.254
2021-01-15 11:02:10,104.545,0.276
2021-01-15 11:02:20,104.562,0.278
2021-01-15 11:02:30,104.665,0.288
2021-01-15 11:02:40,104.218,0.243
2021-01-15 11:02:50,104.545,0.276
2021-01-15 11:03:00,104.338,0.255
2021-01-15 11:03:10,104.614,0.283
2021-01-15 11:03:20,104.407,0.262
2021-01-15 11:03:30,104.493,0.271
2021-01-15 11:03:40,104.373,0.259
2021-01-15 11:03:50,104.373,0.259
2021-01-15 11:04:00,104.045,0.226
2021-01-15 11:04:10,104.373,0.259
2021-01-15 11:04:20,104.045,0.226
2021-01-15 11:04:30,104.114,0.233
2021-01-15 11:04:40,104.407,0.262
2021-01-15 11:04:50,104.528,0.274
2021-01-15 11:05:00,104.545,0.276
2021-01-15 11:05:10,104.355,0.257
2021-01-15 11:05:20,104.269,0.248
2021-01-15 11:05:30,104.114,0.233
2021-01-15 11:05:40,104.373,0.259
2021-01-15 11:05:50,104.424,0.264
2021-01-15 11:06:00,104.803,0.302
2021-01-15 11:06:10,104.958,0.317
2021-01-15 11:06:20,104.476,0.269
2021-01-15 11:06:30,104.717,0.293
2021-01-15 11:06:40,104.665,0.288
2021-01-15 11:06:50,105.044,0.326
2021-01-15 11:07:00,104.424,0.264
2021-01-15 11:07:10,104.717,0.293
2021-01-15 11:07:20,104.441,0.266
2021-01-15 11:07:30,104.976,0.319
2021-01-15 11:07:40,104.51,0.272
2021-01-15 11:07:50,104.976,0.319
2021-01-15 11:08:00,104.596,0.281
2021-01-15 11:08:10,104.596,0.281
2021-01-15 11:08:20,104.596,0.281
2021-01-15 11:08:30,104.528,0.274
2021-01-15 11:08:40,104.7,0.291
2021-01-15 11:08:50,104.51,0.272
2021-01-15 11:09:00,104.631,0.284
2021-01-15 11:09:10,104.39,0.26
2021-01-15 11:09:20,104.441,0.266
2021-01-15 11:09:30,104.596,0.281
2021-01-15 11:09:40,104.596,0.281
2021-01-15 11:09:50,104.596,0.281
2021-01-15 11:10:00,104.7,0.291
2021-01-15 11:10:10,104.683,0.29
2021-01-15 11:10:20,104.218,0.243
2021-01-15 11:10:30,104.579,0.279
2021-01-15 11:10:40,104.269,0.248
2021-01-15 11:10:50,104.269,0.248
2021-01-15 11:11:00,104.218,0.243
2021-01-15 11:11:10,104.665,0.288
2021-01-15 11:11:20,104.596,0.281
2021-01-15 11:11:30,104.493,0.271
2021-01-15 11:11:40,104.459,0.267
2021-01-15 11:11:50,104.441,0.266
2021-01-15 11:12:00,104.407,0.262
2021-01-15 11:12:10,104.235,0.245
2021-01-15 11:12:20,104.459,0.267
2021-01-15 11:12:30,104.2,0.242
2021-01-15 11:12:40,104.321,0.254
2021-01-15 11:12:50,103.959,0.218
2021-01-15 11:13:00,104.7,0.291
2021-01-15 11:13:10,104.252,0.247
2021-01-15 11:13:20,104.304,0.252
2021-01-15 11:13:30,104.407,0.262
2021-01-15 11:13:40,104.2,0.242
2021-01-15 11:13:50,104.51,0.272
2021-01-15 11:14:00,104.493,0.271
2021-01-15 11:14:10,104.39,0.26
2021-01-15 11:14:20,104.476,0.269
2021-01-15 11:14:30,104.407,0.262
2021-01-15 11:14:40,104.286,0.25
2021-01-15 11:14:50,104.166,0.238
2021-01-15 11:15:00,104.459,0.267
2021-01-15 11:15:10,104.304,0.252
2021-01-15 11:15:20,104.562,0.278
2021-01-15 11:15:30,104.39,0.26
2021-01-15 11:15:40,104.596,0.281
2021-01-15 11:15:50,104.614,0.283
2021-01-15 11:16:00,104.218,0.243
2021-01-15 11:16:10,104.355,0.257
2021-01-15 11:16:20,104.08,0.23
2021-01-15 11:16:30,104.39,0.26
2021-01-15 11:16:40,104.476,0.269
2021-01-15 11:16:50,104.407,0.262
2021-01-15 11:17:00,104.321,0.254
2021-01-15 11:17:10,104.2,0.242
2021-01-15 11:17:20,104.218,0.243
2021-01-15 11:17:30,104.149,0.236
2021-01-15 11:17:40,104.183,0.24
2021-01-15 11:17:50,104.235,0.245
2021-01-15 11:18:00,104.252,0.247
2021-01-15 11:18:10,104.39,0.26
2021-01-15 11:18:20,104.304,0.252
2021-01-15 11:18:30,104.734,0.295
2021-01-15 11:18:40,104.304,0.252
2021-01-15 11:18:50,104.424,0.264
2021-01-15 11:19:00,104.166,0.238
2021-01-15 11:19:10,104.441,0.266
2021-01-15 11:19:20,104.269,0.248
2021-01-15 11:19:30,104.476,0.269
2021-01-15 11:19:40,104.321,0.254
2021-01-15 11:19:50,104.373,0.259
2021-01-15 11:20:00,104.786,0.3
2021-01-15 11:20:10,104.304,0.252
2021-01-15 11:20:20,104.304,0.252
2021-01-15 11:20:30,103.873,0.209
2021-01-15 11:20:40,104.39,0.26
2021-01-15 11:20:50,104.545,0.276
2021-01-15 11:21:00,104.355,0.257
2021-01-15 11:21:10,104.683,0.29
2021-01-15 11:21:20,104.166,0.238
2021-01-15 11:21:30,104.493,0.271
2021-01-15 11:21:40,104.545,0.276
2021-01-15 11:21:50,104.579,0.279
2021-01-15 11:22:00,104.235,0.245
2021-01-15 11:22:10,104.441,0.266
2021-01-15 11:22:20,104.528,0.274
2021-01-15 11:22:30,104.803,0.302
2021-01-15 11:22:40,104.614,0.283
2021-01-15 11:22:50,104.39,0.26
2021-01-15 11:23:00,104.7,0.291
2021-01-15 11:23:10,104.717,0.293
2021-01-15 11:23:20,104.614,0.283
2021-01-15 11:23:30,104.562,0.278
2021-01-15 11:23:40,104.579,0.279
2021-01-15 11:23:50,104.599,0.281
2021-01-15 11:24:00,104.355,0.257
2021-01-15 11:24:10,104.479,0.269
2021-01-15 11:24:20,104.341,0.256
2021-01-15 11:24:30,104.375,0.259
2021-01-15 11:24:40,104.341,0.256
2021-01-15 11:24:50,104.392,0.261
2021-01-15 11:25:00,104.599,0.281
2021-01-15 11:25:10,104.444,0.266
2021-01-15 11:25:20,104.513,0.273
